-10 40 31280.78 -5.1 87 0 23705.8
-5 40 31281.76 1.7 99 0 23719.3
0 40 31282.67 3.65 99 0 23732.5
0 45 32415.31 5649.35 29 0 24103.9
-5 45 31284.99 -3.15 98 0 24122.9
-10 45 31284.58 -3.55 89 0 24136.3
-15 45 31285.91 -1.95 78 0 24152.1
-20 45 31286.36 0.95 99 0 24207.1
-25 45 31285.16 -5.85 87 0 24219.6
-30 45 31285.83 -1.5 36 0 24232.2
-35 45 31283.72 -8.45 97 0 24304.3
-40 45 31285.07 -6.65 36 0 24320.6
-45 45 31287.64 -9.55 69 0 24334.8
-45 50 31282.41 -5.9 99 0 24401.8
-40 50 31282.92 -1.1 99 0 24414.6
-35 50 31284.03 -0.3 99 0 24424.8
-30 50 31285.82 0.75 99 0 24435.6
-25 50 31287.63 -1 99 0 24447.7
-20 50 31287.41 4.75 99 0 24459.5
-15 50 31286.99 1.1 99 0 24510
-10 50 31286.48 -9.9 99 0 24524.5
-5 50 31287.07 -1.15 99 0 24537.9
0 50 31289.08 5.65 99 0 24602.8
0 55 31287.12 -8.35 98 0 24625
-5 55 31288.75 18.1 98 0 24644.8
-10 55 31288.33 0.6 99 0 24701.8
-15 55 31288.06 2.45 99 0 24716.7
-20 55 31287.66 -1.5 99 0 24730.8
-25 55 31287.89 -1.1 99 0 24752.1
-30 55 31287.54 0.75 99 0 24819.8
-35 55 31286.42 2.4 99 0 24833.6
-40 55 31285.59 2.6 98 0 24850.7
-45 55 31283.93 -21.85 99 0 24909.4
-50 55 31282.21 2.1 98 0 24924.3
-50 60 31283.38 -1.05 99 0 24954.2
-45 60 31284.99 -2.3 99 0 25012.3
-40 60 31286.27 -2.4 99 0 25028.6
-35 60 31287.32 -0.75 98 0 25043.8
-30 60 31287.17 -1.45 99 0 25103.1
-25 60 31290.63 10.4 29 0 25116
-20 60 31289.25 -1.9 98 0 25128.6
-15 60 31290.35 -0.85 99 0 25139.5
-10 60 31289.66 -11.6 98 0 25152.3
-5 60 31288.97 -2.95 99 0 25203.4
0 60 31288.49 -1.7 99 0 25215.9
5 60 31288.92 -2.75 99 0 25254.7
0 60 31274.82 -8.9 96 0 42329
0 55 31275.19 -1.5 98 0 42353.9
0 50 31272.79 -13.65 99 0 42407.7
0 45 31276.34 4.15 97 0 42421.6
0 40 31274.33 -10.8 66 0 42436.1
0 35 31274.83 4.35 96 0 42449.1
0 30 31272.27 -9.35 98 0 42505.1
0 25 31269.77 -32.3 96 0 42520.3
0 20 31270.64 -7.1 99 0 42533.3
0 15 31270.72 -7.5 99 0 42545.7
0 10 31275.36 6.75 77 0 42557.3
0 5 31272.05 -9.8 28 0 42612
0 0 31271.18 -11.45 97 0 42623.8
-5 0 31272.31 1.25 66 0 42653.9
-5 5 31268.37 -21.6 78 0 42709
-5 10 31270.08 -11.8 98 0 42724.7
-5 15 31274.22 -4229.65 58 0 42743.8
-5 20 31273.28 7 98 0 42800.2
-5 25 31270.44 -3.65 99 0 42812.2
-5 30 31268.69 -7.85 98 0 42821.8
-5 35 31271.1 -2.05 99 0 42832.7
-5 40 31272.59 -1.05 98 0 42842.9
-5 45 31274.31 -3.6 99 0 42853.5
-5 50 31274.03 3.95 99 0 42904.4
-5 55 31274.7 -0.55 99 0 42915.3
-5 60 31275.5 -3.55 99 0 42926.8
-10 60 31276.88 4.35 99 0 42952.8
-10 55 31274.7 -6.9 56 0 43011.8
-10 50 31277.98 42.35 66 0 43022.8
-10 45 31275.36 2.6 66 0 43036.8
-10 40 31275.07 15.45 76 0 43049
-10 35 31271.55 -9.3 76 0 43100.1
-10 30 31271.08 2.45 57 0 43111.5
-10 25 31272.05 11.95 86 0 43122.1
-10 20 31273.17 -10.1 97 0 43133.1
-10 15 31272.34 -2.25 46 0 43143
-10 10 31273.52 10.05 99 0 43157.1
-10 5 31272.76 4.5 98 0 43208.9
-10 0 31271.03 0.45 99 0 43220.9
-15 0 31270.4 -18.65 56 0 43241.7
-15 5 31272.99 2.15 98 0 43306.6
-15 10 31272.75 -1.55 98 0 43318.5
-15 15 31271.53 0.45 99 0 43328.4
-15 20 31270.38 0.55 99 0 43338.5
-15 25 31271.92 4.25 99 0 43349.6
-15 30 31273.13 -9.05 99 0 43400.3
-15 35 31272.53 3.9 98 0 43412.9
-15 40 31271.91 -11.1 99 0 43423.3
-15 45 31274.79 5.1 88 0 43433
-15 50 31276.43 9.35 99 0 43444.1
-15 55 31276.45 6.75 99 0 43455.7
-15 60 31273.55 13.75 99 0 43506.3
-20 60 31271.83 9.55 98 0 43526.6
-20 55 31272.61 3.35 49 0 43540.7
-20 50 31273.72 10.3 97 0 43606.9
-20 45 31272.46 42.95 25 0 43624.3
